city,country,forecast_dt,dt_txt,temperature_c,humidity_percent,condition,wind_speed_m_s,date
Madrid,ES,2026-06-26 21:00:00,2026-06-26 21:00:00,30.07,21,Clouds,1.86,2026-06-26
Madrid,ES,2026-06-27 00:00:00,2026-06-27 00:00:00,27.49,26,Clouds,2.08,2026-06-27
Madrid,ES,2026-06-27 03:00:00,2026-06-27 03:00:00,25.08,34,Clouds,1.48,2026-06-27
Madrid,ES,2026-06-27 06:00:00,2026-06-27 06:00:00,23.65,39,Clouds,1.37,2026-06-27
Madrid,ES,2026-06-27 09:00:00,2026-06-27 09:00:00,27.91,30,Clouds,2.44,2026-06-27
Madrid,ES,2026-06-27 12:00:00,2026-06-27 12:00:00,30.88,25,Clouds,6.02,2026-06-27
Madrid,ES,2026-06-27 15:00:00,2026-06-27 15:00:00,32.98,19,Clear,4.99,2026-06-27
Madrid,ES,2026-06-27 18:00:00,2026-06-27 18:00:00,32.72,18,Clear,5.7,2026-06-27
Madrid,ES,2026-06-27 21:00:00,2026-06-27 21:00:00,29.75,20,Clear,4.1,2026-06-27
Madrid,ES,2026-06-28 00:00:00,2026-06-28 00:00:00,27.97,21,Clear,1.49,2026-06-28
Madrid,ES,2026-06-28 03:00:00,2026-06-28 03:00:00,24.85,25,Clear,2.67,2026-06-28
Madrid,ES,2026-06-28 06:00:00,2026-06-28 06:00:00,24.02,30,Clear,3.71,2026-06-28
Madrid,ES,2026-06-28 09:00:00,2026-06-28 09:00:00,28.42,25,Clear,2.77,2026-06-28
Madrid,ES,2026-06-28 12:00:00,2026-06-28 12:00:00,33.25,17,Clouds,0.77,2026-06-28
Vienna,AT,2026-06-23 15:00:00,2026-06-23 15:00:00,30.32,46,Clouds,4.07,2026-06-23
Vienna,AT,2026-06-23 18:00:00,2026-06-23 18:00:00,29.96,47,Clouds,2.53,2026-06-23
Vienna,AT,2026-06-23 21:00:00,2026-06-23 21:00:00,27.36,58,Clouds,1.24,2026-06-23
Vienna,AT,2026-06-24 00:00:00,2026-06-24 00:00:00,23.47,67,Clouds,1.69,2026-06-24
Vienna,AT,2026-06-24 03:00:00,2026-06-24 03:00:00,21.38,72,Clear,1.65,2026-06-24
Vienna,AT,2026-06-24 06:00:00,2026-06-24 06:00:00,25.25,53,Clear,1.77,2026-06-24
Vienna,AT,2026-06-24 09:00:00,2026-06-24 09:00:00,28.66,42,Clear,2.78,2026-06-24
Vienna,AT,2026-06-24 12:00:00,2026-06-24 12:00:00,31.6,31,Clear,2.98,2026-06-24
Vienna,AT,2026-06-24 15:00:00,2026-06-24 15:00:00,30.19,30,Clear,2.85,2026-06-24
Vienna,AT,2026-06-24 18:00:00,2026-06-24 18:00:00,30.51,41,Clouds,2.5,2026-06-24
Vienna,AT,2026-06-24 21:00:00,2026-06-24 21:00:00,27.22,52,Clouds,0.99,2026-06-24
Vienna,AT,2026-06-25 00:00:00,2026-06-25 00:00:00,25.08,58,Clouds,1.5,2026-06-25
Vienna,AT,2026-06-25 03:00:00,2026-06-25 03:00:00,23.11,64,Clouds,1.57,2026-06-25
Vienna,AT,2026-06-25 06:00:00,2026-06-25 06:00:00,26.92,51,Clouds,1.61,2026-06-25
